	Interaction	InteractionTypes	ConfidenceValues	InteractorA	InteractorB	TaxidA	TaxidB
13811	586131	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	48800000.0	entrez:851136	entrez:853649	559292	559292
35084	624745	psimi:MI:0915 (physical association)	803.0	entrez:71950	entrez:16201	10090	10090
40072	586148	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	11700000.0	entrez:851136	entrez:850767	559292	559292
48223	624710	psimi:MI:0915 (physical association)	697.0	entrez:71950	entrez:81004	10090	10090
64371	585991	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	725000.0	entrez:851136	entrez:852185	559292	559292
91202	586071	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	674000.0	entrez:851136	entrez:850554	559292	559292
101137	586193	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	170000.0	entrez:851136	entrez:855592	559292	559292
123843	624684	psimi:MI:0915 (physical association)	942.0	entrez:71950	entrez:229542	10090	10090
134150	585235	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	693000.0	entrez:853191	entrez:856648	559292	559292
157729	624687	psimi:MI:0915 (physical association)	1902.0	entrez:71950	entrez:107932	10090	10090
158678	624653	psimi:MI:0915 (physical association)	2032.0	entrez:71950	entrez:99377	10090	10090
177857	585331	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	53000000.0	entrez:853191	entrez:853182	559292	559292
205689	586203	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	362000.0	entrez:851136	entrez:855751	559292	559292
237052	585987	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	39600000.0	entrez:851136	entrez:852263	559292	559292
247574	586086	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	53900000.0	entrez:851136	entrez:852964	559292	559292
253922	586087	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	13600000.0	entrez:851136	entrez:852966	559292	559292
278467	586367	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	251000.0	entrez:854315	entrez:856695	559292	559292
281176	624663	psimi:MI:0915 (physical association)	1019.0	entrez:71950	entrez:93762	10090	10090
342504	794794	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	488210.0	entrez:5980	entrez:8837	9606	9606
351589	624694	psimi:MI:0915 (physical association)	797.0	entrez:71950	entrez:75560	10090	10090
454271	586000	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	624000.0	entrez:851136	entrez:852492	559292	559292
476965	585946	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	839000.0	entrez:853100	entrez:855049	559292	559292
509049	624707	psimi:MI:0915 (physical association)	1036.0	entrez:71950	entrez:20466	10090	10090
509888	586225	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	451000.0	entrez:851136	entrez:854322	559292	559292
516660	794802	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	277880.0	entrez:5980	entrez:7295	9606	9606
522638	585336	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	130000.0	entrez:853191	entrez:853191	559292	559292
525787	624668	psimi:MI:0915 (physical association)	1523.0	entrez:71950	entrez:207165	10090	10090
536337	624683	psimi:MI:0915 (physical association)	1278.0	entrez:71950	entrez:234366	10090	10090
546019	586139	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	52500000.0	entrez:851136	entrez:853942	559292	559292
557346	624644	psimi:MI:0915 (physical association)	868.0	entrez:71950	entrez:320790	10090	10090
562372	585335	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	9150000.0	entrez:853191	entrez:853187	559292	559292
568258	586621	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	50200000.0	entrez:855264	entrez:855260	559292	559292
570035	583743	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	4980000.0	entrez:853191	entrez:854966	559292	559292
570386	586019	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	4520000.0	entrez:851136	entrez:851314	559292	559292
587831	585592	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	768000.0	entrez:853191	entrez:854150	559292	559292
590537	647957	psimi:MI:0915 (physical association)	1760.0	entrez:23435	entrez:23435	9606	9606
606680	586075	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	293000.0	entrez:851136	entrez:852883	559292	559292
611296	586154	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	209000.0	entrez:851136	entrez:850930	559292	559292
622914	586120	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	168000.0	entrez:851136	entrez:853298	559292	559292
654359	586464	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	324000.0	entrez:852794	entrez:852806	559292	559292
666445	586207	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	546000.0	entrez:851136	entrez:854157	559292	559292
669744	586252	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	4140000.0	entrez:851136	entrez:856197	559292	559292
673050	586176	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	912000.0	entrez:851136	entrez:855237	559292	559292
682372	586077	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	17500000.0	entrez:851136	entrez:852838	559292	559292
686604	585337	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	153000.0	entrez:853191	entrez:853192	559292	559292
701041	586069	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	150000.0	entrez:851136	entrez:850506	559292	559292
724680	583729	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	498000.0	entrez:855264	entrez:851576	559292	559292
760195	586080	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	104000.0	entrez:851136	entrez:852780	559292	559292
768744	624659	psimi:MI:0915 (physical association)	754.0	entrez:71950	entrez:226442	10090	10090
781687	586040	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	2430000.0	entrez:851136	entrez:851906	559292	559292
798416	624686	psimi:MI:0915 (physical association)	737.0	entrez:71950	entrez:116871	10090	10090
809626	583742	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	3360000.0	entrez:853191	entrez:851984	559292	559292
818305	624692	psimi:MI:0915 (physical association)	1581.0	entrez:71950	entrez:100683	10090	10090
829796	583716	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	252000.0	entrez:856099	entrez:850554	559292	559292
852938	586497	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	327000.0	entrez:852794	entrez:850909	559292	559292
872138	624744	psimi:MI:0915 (physical association)	2437.0	entrez:71950	entrez:56258	10090	10090
893571	624688	psimi:MI:0915 (physical association)	978.0	entrez:71950	entrez:116870	10090	10090
920900	583740	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	778000.0	entrez:853191	entrez:853318	559292	559292
944971	624656	psimi:MI:0915 (physical association)	712.0	entrez:71950	entrez:11614	10090	10090
948717	586216	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	781000.0	entrez:851136	entrez:854026	559292	559292
959958	583723	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	582000.0	entrez:852794	entrez:854827	559292	559292
965383	624724	psimi:MI:0915 (physical association)	809.0	entrez:71950	entrez:234594	10090	10090
985942	583722	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	702000.0	entrez:852794	entrez:856738	559292	559292
986193	586211	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	323000.0	entrez:851136	entrez:854085	559292	559292
987961	586070	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	9930000.0	entrez:851136	entrez:850505	559292	559292
992903	624658	psimi:MI:0915 (physical association)	1483.0	entrez:71950	entrez:58198	10090	10090
1001045	586146	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	103000.0	entrez:851136	entrez:850696	559292	559292
1005705	624713	psimi:MI:0915 (physical association)	720.0	entrez:71950	entrez:99982	10090	10090
1010643	586004	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	176000.0	entrez:851136	entrez:852556	559292	559292
1017243	583744	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	150000.0	entrez:853191	entrez:852096	559292	559292
1023060	583715	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	17300000.0	entrez:851136	entrez:851309	559292	559292
1031973	624685	psimi:MI:0915 (physical association)	924.0	entrez:71950	entrez:23942	10090	10090
1034487	624748	psimi:MI:0915 (physical association)	867.0	entrez:71950	entrez:13211	10090	10090
1080022	586042	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	243000.0	entrez:851136	entrez:851939	559292	559292
1104400	624654	psimi:MI:0915 (physical association)	788.0	entrez:71950	entrez:26380	10090	10090
1104611	586530	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	402000.0	entrez:852794	entrez:855843	559292	559292
1109199	586084	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	5940000.0	entrez:851136	entrez:852647	559292	559292
1110758	586137	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	4170000.0	entrez:851136	entrez:853936	559292	559292
1112676	794804	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	505810.0	entrez:5980	entrez:84896	9606	9606
1121304	585334	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	2280000.0	entrez:853191	entrez:853186	559292	559292
1140137	624664	psimi:MI:0915 (physical association)	783.0	entrez:71950	entrez:242466	10090	10090
1178479	586103	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	1310000.0	entrez:851136	entrez:854791	559292	559292
1178918	586622	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	60000000.0	entrez:855264	entrez:855267	559292	559292
1185866	585518	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	811000.0	entrez:853191	entrez:1466498	559292	559292
1198546	586152	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	434000.0	entrez:851136	entrez:850892	559292	559292
1222285	586073	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	1210000.0	entrez:851136	entrez:850612	559292	559292
1223895	624735	psimi:MI:0915 (physical association)	815.0	entrez:71950	entrez:56399	10090	10090
1224859	586433	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	269000.0	entrez:852794	entrez:852512	559292	559292
1226520	586055	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	797000.0	entrez:851136	entrez:856738	559292	559292
1244293	586027	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	186000.0	entrez:851136	entrez:851655	559292	559292
1264484	583714	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	4750000.0	entrez:851136	entrez:850793	559292	559292
1276824	586035	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	151000.0	entrez:851136	entrez:851824	559292	559292
1280305	583727	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	420000.0	entrez:855264	entrez:852385	559292	559292
1290229	794801	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	986740.0	entrez:5980	entrez:1	9606	9606
1295801	586795	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	664000.0	entrez:855228	entrez:856695	559292	559292
1340207	586494	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	5980000.0	entrez:852794	entrez:850734	559292	559292
1350597	586201	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	745000.0	entrez:851136	entrez:855406	559292	559292
1368218	586339	psimi:MI:0794 (synthetic genetic interaction defined by inequality)	7680000.0	entrez:856099	entrez:856097	559292	559292
